"filename", "language", "XML", "Python", "YAML", "CMake", "Markdown", "comment", "blank", "total"
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/CMakeLists.txt", "CMake", 0, 0, 0, 58, 0, 0, 10, 68
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/CMakeLists.txt", "CMake", 0, 0, 0, 23, 0, 0, 7, 30
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/README.md", "Markdown", 0, 0, 0, 0, 23, 0, 11, 34
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/config/board_charuco.yaml", "YAML", 0, 0, 6, 0, 0, 0, 1, 7
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/config/board_chessboard.yaml", "YAML", 0, 0, 4, 0, 0, 0, 1, 5
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/config/c1_three_camera.yaml", "YAML", 0, 0, 48, 0, 0, 0, 5, 53
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/config/default.yaml", "YAML", 0, 0, 48, 0, 0, 0, 5, 53
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/package.xml", "XML", 14, 0, 0, 0, 0, 0, 5, 19
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/scripts/collect_dataset_node.py", "Python", 0, 1, 0, 0, 0, 2, 2, 5
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/scripts/export_static_tf.py", "Python", 0, 37, 0, 0, 0, 1, 8, 46
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/scripts/multicam_calibrator_gui.py", "Python", 0, 74, 0, 0, 0, 1, 17, 92
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/scripts/run_calibration.py", "Python", 0, 56, 0, 0, 0, 1, 11, 68
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/scripts/validate_tf.py", "Python", 0, 19, 0, 0, 0, 1, 8, 28
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/setup.py", "Python", 0, 19, 0, 0, 0, 0, 3, 22
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/__init__.py", "Python", 0, 1, 0, 0, 0, 1, 2, 4
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/boards/__init__.py", "Python", 0, 11, 0, 0, 0, 0, 5, 16
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/boards/base.py", "Python", 0, 30, 0, 0, 0, 0, 6, 36
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/boards/charuco.py", "Python", 0, 125, 0, 0, 0, 0, 7, 132
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/boards/chessboard.py", "Python", 0, 91, 0, 0, 0, 0, 7, 98
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/core/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/core/io.py", "Python", 0, 22, 0, 0, 0, 0, 10, 32
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/core/reprojection.py", "Python", 0, 8, 0, 0, 0, 0, 4, 12
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/core/rotation_average.py", "Python", 0, 2, 0, 0, 0, 0, 2, 4
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/core/transform.py", "Python", 0, 159, 0, 0, 0, 0, 25, 184
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/dataset/__init__.py", "Python", 0, 3, 0, 0, 0, 0, 2, 5
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/dataset/loader.py", "Python", 0, 75, 0, 0, 0, 0, 11, 86
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/dataset/schema.py", "Python", 0, 43, 0, 0, 0, 0, 13, 56
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/dataset/writer.py", "Python", 0, 67, 0, 0, 0, 0, 8, 75
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/gui/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/gui/board_panel.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/gui/calibration_panel.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/gui/camera_panel.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/gui/main_window.py", "Python", 0, 448, 0, 0, 0, 0, 46, 494
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/gui/sample_panel.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/gui/task_panel.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/gui/tf_panel.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/report/__init__.py", "Python", 0, 2, 0, 0, 0, 0, 2, 4
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/report/exporter.py", "Python", 0, 63, 0, 0, 0, 0, 12, 75
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/report/metrics.py", "Python", 0, 2, 0, 0, 0, 0, 2, 4
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/report/plots.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/ros/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 1, 2
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/ros/camera_cache.py", "Python", 0, 15, 0, 0, 0, 0, 4, 19
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/ros/tf_reader.py", "Python", 0, 33, 0, 0, 0, 0, 6, 39
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/ros/topic_reader.py", "Python", 0, 72, 0, 0, 0, 0, 10, 82
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/solvers/__init__.py", "Python", 0, 13, 0, 0, 0, 0, 5, 18
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/solvers/base.py", "Python", 0, 27, 0, 0, 0, 0, 7, 34
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/solvers/camera_to_camera_solver.py", "Python", 0, 65, 0, 0, 0, 0, 6, 71
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/solvers/eye_in_hand_solver.py", "Python", 0, 81, 0, 0, 0, 0, 8, 89
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/solvers/eye_to_hand_solver.py", "Python", 0, 140, 0, 0, 0, 0, 11, 151
"/media/kaede-rei/AgroTech/home/ROS-Noetic-Workspace/hand-eye-ws/src/hand_eye_calibrator/src/hand_eye_calibrator/solvers/nonlinear_refiner.py", "Python", 0, 5, 0, 0, 0, 1, 3, 9
"Total", "-", 14, 1809, 106, 81, 23, 18, 328, 2379
